,Title,Domestic Release Date,Year Released (Domestic),Month Released (Domestic),Infl. Adj. Dom. Box Office,Domestic Box Office,Genre,Theatrical Distributor,Total Oscars Awarded in Year
1522,Victor/Victoria,1982-03-19,1982,3,69795655,22524614,Musical,MGM,23
1523,Protocol,1984-12-21,1984,12,69767824,26300000,Comedy,Warner Bros.,23
1524,Spring Break,1983-03-25,1983,3,69616780,24071666,Comedy,Sony Pictures,23
1525,The First Purge,2018-07-04,2018,7,69488748,69488745,Horror,Universal,25
1526,Harry and the Hendersons,1987-06-05,1987,6,69339936,29760613,Comedy,Universal,23
1527,The Muppets Take Manhattan,1984-07-13,1984,7,69232474,25534703,Comedy,Sony/TriStar,23
1528,Micki + Maude,1984-12-21,1984,12,69174289,26200000,Comedy,Sony Pictures,23
1529,A Nightmare on Elm Street,1984-11-09,1984,11,69150621,25504513,Horror,New Line,23
1530,Weekend at Bernie's,1989-07-05,1989,7,68994858,30218387,Comedy,20th Century Fox,23
1531,The Cotton Club,1984-12-14,1984,12,68954966,25928721,Drama,Orion Pictures,23
1532,The Woman in Red,1984-08-15,1984,8,68618214,25308147,Comedy,Orion Pictures,23
1533,Road House,1989-05-19,1989,5,68610462,30050028,Action,United Artists,23
1534,Prizzi's Honor,1985-06-14,1985,6,68517458,26700000,Drama,20th Century Fox,23
1535,Lean on Me,1989-03-03,1989,3,68092431,29823140,Drama,Warner Bros.,23
1536,Hoosiers,1986-11-14,1986,11,67417999,28607524,Drama,Orion Pictures,23
1537,Altered States,1980-12-25,1980,12,67237521,19853892,Horror,Warner Bros.,22
1538,The Final Conflict,1981-03-20,1981,3,67083025,20471000,Horror,20th Century Fox,23
1539,Soul Man,1986-10-24,1986,10,67075618,27316198,Comedy,New World,23
1540,Cruising,1980-01-01,1980,1,67001581,19784223,Drama,United Artists,22
1541,Two of a Kind,1983-12-16,1983,12,66925003,23700000,Comedy,20th Century Fox,23
1542,Nuts,1987-11-20,1987,11,66808832,28866028,Drama,Warner Bros.,23
1543,The Incredible Shrinking Woman,1981-01-30,1981,1,66388305,20259000,Comedy,Universal,23
1544,Tess,1980-12-12,1980,12,66052592,20093330,,Columbia,22
1545,Air America,1990-08-10,1990,8,65857192,30506847,Action,Sony Pictures,23
1546,Agnes of God,1985-09-13,1985,9,65766074,25627836,Drama,Sony Pictures,23
1547,Outland,1981-05-22,1981,5,65539563,20000000,Action,Warner Bros.,23
1548,Things Are Tough All Over,1982-07-30,1982,7,65487800,21134374,Comedy,Sony Pictures,23
1549,My Tutor,1983-03-04,1983,3,65323036,22587000,Comedy,Crown,23
1550,Night Shift,1982-07-30,1982,7,65124274,21017056,Comedy,Warner Bros.,23
1551,La Guerre du feu,1982-02-12,1982,2,64946192,20959585,Adventure,20th Century Fox,23
1552,Shoot to Kill,1988-02-12,1988,2,64944762,29300000,Action,Walt Disney,23
1553,Wildcats,1986-02-14,1986,2,64544824,26285544,Comedy,Warner Bros.,23
1554,Green Card,1990-12-25,1990,12,64493106,29804169,Romantic Comedy,Walt Disney,23
1555,The Octagon,1980-01-01,1980,1,64345725,19000000,Action,American Cinema Releasing,22
1556,Heavy Metal,1981-08-07,1981,8,64134036,19571091,Adventure,Columbia,23
1557,Fright Night,1985-08-02,1985,8,63955370,24922237,Horror,Sony Pictures,23
1558,Pacific Heights,1990-09-28,1990,9,63428812,29381956,Thriller/Suspense,20th Century Fox,23
1559,Summer Rental,1985-08-09,1985,8,63310646,24671000,Comedy,Paramount Pictures,23
1560,The Beach Girls,1982-03-26,1982,3,63270462,20418789,Comedy,Crown,23
1561,Some Kind of Hero,1982-04-02,1982,4,63213743,20400486,Comedy,Paramount Pictures,23
1562,Jumpin' Jack Flash,1986-10-10,1986,10,62831506,25587804,Comedy,20th Century Fox,23
1563,The Emerald Forest,1985-07-03,1985,7,62791121,24468550,Drama,Avco Embassy,23
1564,Six Pack,1982-07-16,1982,7,62673047,20225989,Comedy,20th Century Fox,23
1565,Class,1983-07-22,1983,7,62664620,21667789,Comedy,Orion Pictures,23
1566,Ernest Saves Christmas,1988-11-11,1988,11,62511244,28202109,Comedy,Walt Disney,23
1567,Mommie Dearest,1981-09-18,1981,9,62367452,19032000,Drama,Paramount Pictures,23
1568,Heartburn,1986-07-25,1986,7,62159880,25314289,Comedy,Paramount Pictures,23
1569,Creepshow,1982-11-10,1982,11,62085087,20036244,Horror,Warner Bros.,23
1570,Cujo,1983-08-12,1983,8,61184928,21156152,Horror,Warner Bros.,23
1571,Predator 2,1990-11-21,1990,11,61130933,28317513,Action,20th Century Fox,23
1572,The Man From Snowy River,1982-11-03,1982,11,61099877,20659423,Drama,20th Century Fox,23
1573,Windwalker,1980-01-01,1980,1,60959100,18000000,,Pacific International,22
1574,Hardly Working,1980-01-01,1980,1,60959100,18000000,,20th Century Fox,22
1575,Santa Claus,1985-11-29,1985,11,60849498,23717291,Adventure,Sony/TriStar,23
1576,The Right Stuff,1983-10-21,1983,10,60769640,21500000,Action,Warner Bros.,23
1577,The Morning After,1986-12-25,1986,12,60536014,25147055,Thriller/Suspense,20th Century Fox,23
1578,Honeysuckle Rose,1980-07-18,1980,7,60333298,17815212,Drama,Warner Bros.,22
1579,The Rescuers Down Under,1990-11-16,1990,11,60297532,27931461,Adventure,Walt Disney,23
1580,The Dead Zone,1983-10-21,1983,10,60056582,20766000,Horror,Paramount Pictures,23
1581,Christine,1983-12-09,1983,12,59959888,21200000,Horror,Sony Pictures,23
1582,Deathtrap,1982-03-19,1982,3,59747962,19282000,Comedy,Warner Bros.,23
1583,A Christmas Story,1983-11-18,1983,11,59501227,20605209,Comedy,MGM,23
1584,Iron Eagle,1986-01-17,1986,1,59325176,24159872,Action,Sony/TriStar,23
1585,The Care Bears Movie,1985-03-29,1985,3,58853160,22934000,Adventure,Samuel Goldwyn Films,23
1586,The Great Mouse Detective,1986-07-02,1986,7,57963987,23605534,Adventure,Walt Disney,23
1587,Breathless,1983-05-13,1983,5,57580985,19910002,Action,Orion Pictures,23
1588,Herbie Goes Bananas,1980-01-01,1980,1,57572485,17000000,,,22
1589,Betrayed,1988-08-26,1988,8,57222634,25816139,Thriller/Suspense,United Artists,23
1590,Funny Farm,1988-06-03,1988,6,56604393,25537221,Comedy,Warner Bros.,23
1591,Rough Cut,1980-06-19,1980,6,56407917,16656125,,Paramount Pictures,22
1592,Dead Men Don't Wear Plaid,1982-05-21,1982,5,56383366,18196170,Comedy,Universal,23
1593,Friday the 13th Part V: A New Beginning,1985-03-22,1985,3,56277772,21930418,Horror,Paramount Pictures,23
1594,Alien Nation,1988-10-07,1988,10,55892929,25216243,Drama,20th Century Fox,23
1595,The Black Cauldron,1985-07-24,1985,7,54630976,21288692,Adventure,Walt Disney,23
1596,A Nightmare on Elm Street Part 2: Fre…,1985-11-01,1985,11,54310987,21163999,Horror,New Line,23
1597,Max Dugan Returns,1983-03-25,1983,3,50939995,17613720,Comedy,20th Century Fox,23
1598,All the Right Moves,1983-10-21,1983,10,49743488,17200000,Drama,20th Century Fox,23
1599,Valley Girl,1983-04-29,1983,4,48586664,16800000,Comedy,Atlantic,23
